Netid State  Recv-Q Send-Q                                          Local Address:Port                    Peer Address:Port  Process                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
u_str ESTAB  0      0                                 /run/systemd/journal/stdout 19823                              * 19821  users:(("systemd-journal",pid=403,fd=31),("systemd",pid=1,fd=180))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
u_str LISTEN 0      4096                              /run/dbus/system_bus_socket 19707                              * 0      users:(("dbus-daemon",pid=998,fd=3),("systemd",pid=1,fd=199))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
u_str ESTAB  0      0                                 /run/user/1000/pulse/native 30187                              * 30186  users:(("pipewire-pulse",pid=1951,fd=29))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
u_str LISTEN 0      4096                                        /run/snapd.socket 19709                              * 0      users:(("snapd",pid=1032,fd=8),("systemd",pid=1,fd=243))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
u_str ESTAB  0      0                                                           * 29034                              * 29035  users:(("goa-identity-se",pid=2530,fd=5))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
u_str ESTAB  0      0                                    /run/user/1000/wayland-0 27227                              * 27058  users:(("gnome-shell",pid=2169,fd=62),("gnome-shell",pid=2169,fd=59))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
u_str ESTAB  0      0                                                           * 24519                              * 28942  users:(("gsd-sharing",pid=2316,fd=2),("gsd-sharing",pid=2316,fd=1))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
u_str ESTAB  0      0                                                           * 27872                              * 28890  users:(("gsd-disk-utilit",pid=2332,fd=5))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
u_dgr ESTAB  0      0                                                           * 26614                              * 12254  users:(("gdm3",pid=1291,fd=20))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
u_str LISTEN 0      4096                                   /run/snapd-snap.socket 19710                              * 0      users:(("snapd",pid=1032,fd=9),("systemd",pid=1,fd=244))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
u_str ESTAB  0      0                                    /run/user/1000/wayland-0 44378                              * 38714  users:(("gnome-shell",pid=2169,fd=182),("gnome-shell",pid=2169,fd=181))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
u_str ESTAB  0      0                                 /run/user/1000/pulse/native 30137                              * 29493  users:(("pipewire-pulse",pid=1951,fd=27))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
u_str ESTAB  0      0                                   /run/user/1000/at-spi/bus 27272                              * 29170  users:(("dbus-daemon",pid=2182,fd=19))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
u_str ESTAB  0      0                                   /run/user/1000/pipewire-0 24185                              * 24167  users:(("pipewire",pid=1937,fd=40))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
u_str ESTAB  0      0                                                           * 26066                              * 23735  users:(("snapd",pid=1032,fd=3))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
u_str ESTAB  0      0                                                           * 19896                              * 19895  users:(("avahi-daemon",pid=1103,fd=6))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
u_str ESTAB  0      0                                                           * 18259                              * 14873  users:(("systemd-oomd",pid=573,fd=2),("systemd-oomd",pid=573,fd=1))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
u_seq ESTAB  0      0                                                           * 38756                              * 38755  users:(("Privileged Cont",pid=5482,fd=25))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
u_str ESTAB  0      0                                                           * 29755                              * 27265  users:(("gsd-media-keys",pid=2308,fd=11))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
u_str ESTAB  0      0                                                           * 27791                              * 28715  users:(("gnome-shell",pid=2169,fd=2),("gnome-shell",pid=2169,fd=1))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
u_str LISTEN 0      4096                                       /run/uuidd/request 19711                              * 0      users:(("systemd",pid=1,fd=197))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
u_str ESTAB  0      0                                   /run/user/1000/pipewire-0 28416                              * 30188  users:(("pipewire",pid=1937,fd=54))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
u_str ESTAB  0      0                                 /run/systemd/journal/stdout 28940                              * 24515  users:(("systemd-journal",pid=403,fd=124),("systemd",pid=1,fd=271))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
u_str ESTAB  0      0                                 /run/systemd/journal/stdout 28925                              * 27886  users:(("systemd-journal",pid=403,fd=121),("systemd",pid=1,fd=268))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
u_str ESTAB  0      0                                                           * 26914                              * 28802  users:(("gjs",pid=2274,fd=1))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
u_str ESTAB  0      0                                                           * 28996                              * 27255  users:(("evolution-alarm",pid=2336,fd=3))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
u_str ESTAB  0      0                                 /run/systemd/journal/stdout 27984                              * 29731  users:(("systemd-journal",pid=403,fd=140),("systemd",pid=1,fd=287))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
u_str ESTAB  0      0                                 /run/dbus/system_bus_socket 24348                              * 26818  users:(("dbus-daemon",pid=998,fd=70))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
u_str ESTAB  0      0                                 /run/dbus/system_bus_socket 21116                              * 21115  users:(("dbus-daemon",pid=998,fd=24))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
u_str ESTAB  112    0                                                           * 24155                              * 24156  users:(("pipewire-pulse",pid=1951,fd=13))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
u_str ESTAB  0      0                          /run/systemd/io.systemd.ManagedOOM 17006                              * 18955  users:(("systemd",pid=1,fd=47))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
u_dgr ESTAB  0      0                                                           * 12233                              * 12232  users:(("systemd",pid=1,fd=93))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
u_str ESTAB  0      0                                                           * 30186                              * 30187  users:(("gsd-media-keys",pid=2308,fd=23))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
u_str ESTAB  0      0                                                           * 29033                              * 27146  users:(("goa-daemon",pid=2500,fd=12))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
u_str ESTAB  0      0                                          /run/user/1000/bus 28970                              * 27116  users:(("dbus-daemon",pid=1965,fd=47))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
u_str ESTAB  0      0                                                           * 27883                              * 27029  users:(("gsd-disk-utilit",pid=2332,fd=7))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
u_str ESTAB  0      0                                                           * 24488                              * 28916  users:(("gsd-media-keys",pid=2308,fd=2),("gsd-media-keys",pid=2308,fd=1))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
u_seq ESTAB  0      0                                                           * 43621                              * 43622  users:(("firefox",pid=5309,fd=11))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
u_str ESTAB  0      0                                          /run/user/1000/bus 30111                              * 29467  users:(("dbus-daemon",pid=1965,fd=65))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
u_dgr ESTAB  0      0                                                           * 24646                              * 24647  users:(("systemd",pid=1,fd=111))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
u_str ESTAB  0      0                                                           * 20003                              * 21047  users:(("polkitd",pid=1017,fd=6))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
u_seq ESTAB  0      0                                                           * 38778                              * 38777  users:(("RDD Process",pid=5491,fd=27))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
u_str ESTAB  0      0                                                           * 38714                              * 44378  users:(("firefox",pid=5309,fd=14))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
u_str ESTAB  0      0                                                           * 29752                              * 29754  users:(("gsd-keyboard",pid=2301,fd=10))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
u_str ESTAB  136    0                                                           * 27814                              * 27815  users:(("gnome-shell",pid=2169,fd=26))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
u_str ESTAB  0      0                                                           * 26815                              * 26814  users:(("dbus-daemon",pid=2182,fd=9))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
u_str ESTAB  0      0                                                           * 24249                              * 24250  users:(("wireplumber",pid=1945,fd=34),("wireplumber",pid=1945,fd=33),("wireplumber",pid=1945,fd=32))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
u_str ESTAB  0      0                                 /run/dbus/system_bus_socket 23735                              * 26066  users:(("dbus-daemon",pid=998,fd=43))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
